https://wiki.student.uni-goettingen.de/support/exa/bearbeiterinnen/faq


FAQ

Frage | Antwort
Beim Klick auf „Neue gekoppelte Prüfung/Studienleistung anlegen“ erscheint die Meldung „Bitte mind. 1 Elternelement selektieren!“, es kann keine Gekoppelte Prüfung angelegt werden. | Es ist keine Veranstaltungsgruppe zugeordnet.
Prüfungsterminänderung: Gibt es eine automatische Benachrichtigung für die Prüfungsteilnehmer bei Änderung des Termins? | Nein. Beim Ändern des Prüfungstermins muss dieser in FlexNow händisch angepasst werden. Eine Änderung des Termins nach der Freigabe des Prüfungstermins in EXA führt NICHT zu einer automatischen Änderung im FlexNow. Dementsprechend gibt es auch keine automatische Benachrichtigung der Teilnehmer. Eine Benachrichtigung muss manuell erfolgen.
Können Personen, die nicht über das IDM in HISinONe EXA aufgenommen wurden, die Fakultät wechseln oder z.B. pausiert haben, übertragen bzw. 'reaktiviert' werden? | Bitte klären mit dem*r EXA-Beauftragten Ihrer Fakultät / Fachbereichsadminstrator*in Ihrer Einrichtung.
Wie sieht es aus bei Personen, die nicht über das IDM in HISinOne EXA aufgenommen werden, und somit in HISinONe angelegt werden müssen? | Bitte klären mit dem*r EXA-Beauftragten Ihrer Fakultät / Fachbereichsadminstrator*in Ihrer Einrichtung.
Wie erlangen externe Prüfer, die nicht über das IDM in HISinOne EXA aufgenommen werden, Einzelprüfungsberechtigung in HISinOne EXA? | Bitte klären mit dem*r EXA-Beauftragten Ihrer Fakultät / Fachbereichsadminstrator*in Ihrer Einrichtung.
Wie werden Raumverwalter/-innen über eine Raumanfrage informiert? | Die Raumverwalter*innen erhalten über das HISinOne-EXA-System die Benachrichtigungen auf ihrer Startseite. Dazu müssen die Raumverwalter*innen eingeloggt sein.
Wie suche ich eine Person richtig in HISinOne EXA? | Bitte Personen über die Funktion 'Personen bearbeiten' suchen und nicht über 'Personen suchen', da nur über 'Personen bearbeiten' gewährleistet ist, dass sie auch gefunden werden kann.
Warum springt die Semesteranzeige zurzeit immer wieder in das aktuelle Semester bei der Bearbeitung von Veranstaltungen und Prüfungen, obwohl ich schon Veranstaltungen für das darauffolgende Semester bearbeite? | Das System springt für gewöhnlich in das aktuelle Semester.
Werden die verschiedenen Funktionen von Prüfer*innen, z.B. Zweitprüfer*in bzw. Drittprüfer*in etc., in FlexNow übernommen? | Nein, leider nicht. In der Regel ist nur ein/e Prüfer*in gewünscht.
Für Raumverwalter*innen: Wie erfahre ich, dass ein Raum angefragt wurde? | Unter 'Meine Meldungen' auf dem Startbildschirm nach dem Login tauchen die Raumanfragen auf.
Werden die 'Terminhüllen' von Prüfungsterminen für das nächste Semester übernommen? | Nein, leider nicht. Die 'Terminhüllen' für Prüfungstermine müssen jedes Semester neu angelegt werden.
Gibt es eine Möglichkeit die Übertragung von Veranstaltungen aus HISinONE EXA in Stud.IP zu unterdrücken? | Die Veranstaltungen kommen aus EXA nach Stud.IP, wenn diese den Status Freigegeben in EXA haben. Es gibt leider keine Flag mehr die den Status der Übernahme bestimmt. Sollte diese Veranstaltung nicht in Stud.IP sichtbar sein, so muss diese auf Unsichtbar gesetzt werden in Stud.IP (gilt z. B. dann wenn in EXA zwingend für die Sichtbarkeit freigegeben werden muss).
Was passiert, wenn ich eine Prüfung freigegeben habe, aber sich der Raum ändert, da der angefragte Raum nicht vergeben werden konnte? | Dann kann der Raum neu gebucht werden.
Kommen studentische Hilfskräfte, die auch Lehre machen, z.B. Tutor*innen, aus dem IDM oder müssen ihnen manuell die Rolle als 'Lehrperson_Prüfer/-in (UGOE)' zugeordnet werden? | Ja, die studentischen Hilfskräfte kommen auch aus dem IDM. Wenn diese in EXA in einer Lehrveranstaltung sichtbar sein sollen, dann benötigen sie die Rolle 'Lehrperson_Prüfer/-in (UGOE)'. Diese werden dann auch in Stud.IP als Lehrperson eingetragen. Sollten die Tutoren nur als Tutoren in der Stud.IP-Veranstaltung sichtbar sein, so reicht es diese per Hand in Stud.IP hinzuzufügen.
Wie gehe ich mit Personen um, die noch nicht um System sind, aber erst nach einem bestimmten Datum, wenn diese Personen Lehrveranstaltungen geben sollen? | Das Feld verantwortliche/-r Dozent/-in kann zunächst frei bleiben. Der Name kann dann später nachgetragen werden.
Wie sollen die Prüfungsperioden gewählt werden, wenn eine Prüfung über mehrere Tage geht, da sie z.B. als mündliche Prüfung mit einzelnen Prüfungsslots vorgesehen ist? | Es wird für jeden Tag eine eigene Prüfungsperiode vergeben. Im Hintergrund ergibt sich dann noch die Frage, ob in Flexnow drei Teilnehmerlisten entstehen sollen und die Studierenden sich den Tag direkt bei der Anmeldung aussuchen können oder sie nur eine Liste haben möchten und dann nachträglich die Studierenden auf die verschiedenen Tage (und Zeitslots) verteilen. Das muss dann das Prüfungsamt entscheiden und wenn letzteres gewünscht ist, dann darf nur der erste Prüfungstermin nach Flexnow übernommen werden und die anderen auf „freigegeben, kein Flexnow-Export“ gesetzt werden.
